Seconds,Volts,Amps
2435.011,4.04488546,-0.001889998
2440.011,4.044762615,-0.001889993
2445.011,4.04463977,-0.001889994
2450.011,4.044516926,-0.00189
2450.012,4.045413718,0
2450.112,4.045509532,0
2450.212,4.045571979,0
2450.312,4.045622203,0
2450.412,4.045665562,0
2450.512,4.045704418,0
2450.612,4.045740155,0
2450.712,4.045773334,0
2450.812,4.04580425,0
2450.912,4.045833203,0
2451.012,4.045860488,0
2451.112,4.045886391,0
2451.212,4.045911147,0
2451.312,4.045934684,0
2451.412,4.045957222,0
2451.512,4.045978904,0
2451.612,4.045999904,0
2451.712,4.046020492,0
2451.812,4.046040427,0
2451.912,4.046059707,0
2452.012,4.04607834,0
2452.112,4.046096524,0
2452.212,4.046114137,0
2452.312,4.046131178,0
2452.412,4.046147647,0
2452.512,4.046163975,0
2452.612,4.046179937,0
2452.712,4.04619551,0
2452.812,4.046210694,0
2452.912,4.046225488,0
2453.012,4.046239894,0
2453.112,4.04625391,0
2453.212,4.046267537,0
2453.312,4.04628101,0
2453.412,4.046294235,0
2453.512,4.046307142,0
2453.612,4.04631973,0
2453.712,4.046331999,0
2453.812,4.04634395,0
2453.912,4.046355582,0
2454.012,4.046367076,0
2454.112,4.046378493,0
2454.212,4.046389682,0
2454.312,4.046400643,0
2454.412,4.046411378,0
2454.512,4.046421884,0
2454.612,4.046432163,0
2454.712,4.046442268,0
2454.812,4.046452312,0
2454.912,4.04646218,0
2455.012,4.04647187,0
2455.112,4.046481383,0
